Client_ID,AUM_Millions,Months_as_Client,Advisor_Meetings_Last_6M,Portfolio_Risk_Score,Recent_Market_Losses_Pct,Client_Age,Will_Churn
WM-00047,6.14,57,4,3.5,11.98,30,0
WM-00048,4.0,19,2,3.7,1.92,58,0
WM-00049,4.05,50,4,3.1,1.19,39,0
WM-00050,7.78,18,2,6.7,6.47,63,0
WM-00051,33.05,26,7,5.9,1.25,53,0
WM-00052,4.92,48,3,4.2,36.75,38,1
WM-00053,2.42,39,2,5.1,8.9,65,1
WM-00054,3.7,147,0,2.5,17.94,37,1
WM-00055,7.85,31,4,7.4,1.53,56,0
WM-00056,9.4,30,5,5.0,0.51,48,0
WM-00057,3.78,59,2,4.6,31.73,52,0
WM-00058,5.88,27,3,5.0,1.89,47,1
WM-00059,1.4,36,3,8.4,0.64,56,0
WM-00060,7.23,24,3,4.1,8.56,37,1
WM-00061,1.54,123,2,4.4,0.44,42,0
WM-00062,10.69,69,3,4.4,4.22,49,0
WM-00063,16.0,31,4,5.4,1.08,56,0
WM-00064,16.71,40,3,5.5,2.14,40,0
WM-00065,6.83,84,4,5.6,16.21,50,0
WM-00066,47.89,41,7,7.8,1.06,44,0
WM-00067,4.99,133,2,4.1,1.66,42,0
WM-00068,9.97,26,1,3.9,6.39,47,0
WM-00069,3.21,77,0,3.0,7.39,60,0
WM-00070,5.16,20,3,6.1,18.99,43,0
WM-00071,10.23,30,8,3.1,2.31,47,0
WM-00072,6.07,38,3,3.8,3.26,48,0
WM-00073,7.09,45,1,3.5,0.58,46,1
WM-00074,3.77,81,2,2.4,15.28,46,1
WM-00075,10.86,36,3,6.3,1.68,50,0
WM-00076,22.18,60,7,6.2,5.54,52,0
WM-00077,5.83,14,1,3.7,3.56,54,0
WM-00078,1.0,45,2,2.0,3.65,33,0
WM-00079,9.7,110,0,1.9,3.31,51,0
WM-00080,4.7,59,1,6.0,35.38,52,0
WM-00081,13.54,59,2,4.0,1.66,52,1
WM-00082,7.27,24,4,4.2,1.19,45,0
WM-00083,6.26,37,2,5.0,25.15,57,0
WM-00084,36.66,93,5,5.6,6.17,54,0
WM-00085,8.1,30,3,5.6,0.96,31,0
WM-00086,1.97,21,2,3.6,0.57,47,1
WM-00087,4.42,54,5,4.5,3.11,57,0
WM-00088,6.49,10,0,4.1,0.11,49,1
WM-00089,8.7,72,3,2.2,10.34,41,0
WM-00090,5.88,114,3,4.4,0.9,49,0
WM-00091,7.9,35,6,5.5,17.26,51,0
WM-00092,5.18,34,2,7.4,0.71,40,0
WM-00093,3.22,20,3,3.7,21.8,64,0
WM-00094,4.82,42,1,7.8,3.25,46,0
WM-00095,3.47,54,2,4.2,39.0,33,1
WM-00096,1.44,34,4,3.8,3.88,47,0
WM-00097,1.88,13,3,2.5,0.75,38,0
WM-00098,4.4,42,1,7.3,0.66,57,1
WM-00099,6.04,21,4,5.8,0.95,61,0
WM-00100,6.24,22,1,1.9,48.94,50,0
WM-00101,2.04,42,2,4.7,4.6,60,0
WM-00102,25.16,38,5,3.8,5.63,54,0
WM-00103,8.38,56,0,4.0,4.07,57,0
WM-00104,2.24,7,5,3.2,8.11,45,0
WM-00105,3.06,16,3,7.7,0.14,56,0
WM-00106,3.5,27,0,4.2,0.29,50,0
WM-00107,2.96,75,1,3.6,2.37,55,0
WM-00108,4.18,22,1,4.5,12.16,44,0
WM-00109,2.36,25,2,1.3,10.01,35,1
WM-00110,1.0,41,0,1.5,3.59,35,1
WM-00111,1.04,85,1,3.6,40.04,32,0
WM-00112,1.0,16,2,2.6,5.4,50,0
WM-00113,6.23,22,2,5.2,4.6,46,0
WM-00114,19.47,89,2,6.7,7.21,47,0
WM-00115,4.52,28,4,6.2,14.09,58,0
WM-00116,5.01,17,3,4.4,10.71,31,0
WM-00117,12.86,24,5,4.5,1.73,53,0
WM-00118,1.58,32,2,5.7,1.58,57,0
WM-00119,5.01,20,3,4.7,22.43,38,0
WM-00120,10.84,16,4,7.6,0.7,41,0
WM-00121,17.29,30,2,3.3,30.63,47,1
WM-00122,10.31,38,1,7.3,0.14,60,1
WM-00123,3.17,10,0,2.9,40.01,49,1
WM-00124,7.66,29,3,7.7,2.09,57,0
WM-00125,4.34,41,3,2.4,2.06,48,0
WM-00126,2.25,45,1,4.0,2.72,54,0
WM-00127,4.6,84,1,8.3,11.11,43,0
WM-00128,6.54,13,4,1.5,1.37,44,0
WM-00129,3.12,18,3,4.7,37.98,49,1
WM-00130,1.0,18,2,4.3,1.49,58,0
WM-00131,17.21,26,5,4.0,3.36,54,0
WM-00132,6.02,26,4,3.6,9.38,57,0
WM-00133,9.36,22,6,5.3,6.06,45,0
WM-00134,7.27,36,5,3.3,15.41,60,0
WM-00135,2.93,43,4,4.0,0.2,56,0
WM-00136,3.84,22,3,1.5,3.85,43,0
WM-00137,2.09,57,1,4.0,10.31,46,0
WM-00138,34.64,90,8,6.9,4.79,44,0
WM-00139,3.74,29,4,6.1,14.62,48,1
WM-00140,4.27,40,1,4.7,0.97,61,0
WM-00141,8.89,64,3,3.6,14.61,55,1
WM-00142,17.24,76,5,4.2,22.51,56,0
WM-00143,2.43,46,1,3.6,1.62,43,0
WM-00144,4.07,8,0,3.4,0.27,43,0
WM-00145,11.99,35,0,5.5,0.42,50,0
WM-00146,3.0,26,1,4.9,0.52,46,0
WM-00147,5.14,13,3,3.5,27.17,54,1
WM-00148,2.86,7,1,3.5,1.58,57,0
WM-00149,17.14,40,5,3.1,3.18,52,0
WM-00150,1.04,38,4,5.3,27.15,32,0
WM-00151,7.65,12,5,6.1,1.15,43,1
WM-00152,19.67,100,1,6.7,15.11,39,0
WM-00153,7.78,35,0,5.5,3.3,40,1
WM-00154,1.19,20,1,2.9,6.12,41,0
WM-00155,1.59,13,4,2.8,0.66,44,0
WM-00156,1.02,38,1,1.9,12.9,58,0
WM-00157,9.46,37,5,3.8,3.17,45,0
WM-00158,16.67,40,3,4.0,2.71,47,0
WM-00159,7.82,46,2,3.2,7.49,61,0
WM-00160,35.21,42,4,7.4,9.07,49,0
WM-00161,9.63,48,5,3.5,2.93,45,0
WM-00162,1.1,28,0,5.8,1.27,53,0
WM-00163,3.43,51,2,4.3,1.23,44,0
WM-00164,1.0,27,2,4.2,7.45,33,0
WM-00165,6.42,34,1,3.5,3.67,34,1
WM-00166,14.29,22,2,3.9,1.51,58,0
WM-00167,13.29,36,3,2.9,6.69,58,0
WM-00168,6.55,39,1,5.8,3.15,53,0
WM-00169,1.0,10,0,1.9,8.77,30,0
WM-00170,4.73,41,3,7.3,28.6,57,1
WM-00171,5.29,24,1,6.3,2.76,46,0
WM-00172,12.2,9,1,6.7,13.34,55,0
WM-00173,24.36,68,2,7.6,10.8,58,0
WM-00174,7.07,41,3,2.6,3.49,48,0
WM-00175,7.45,31,1,6.7,5.43,43,0
WM-00176,25.09,24,4,7.4,35.7,56,1
WM-00177,10.24,129,1,3.1,0.69,50,1
WM-00178,9.05,46,3,3.2,0.73,50,0
WM-00179,6.28,45,2,2.4,4.87,48,0
WM-00180,4.56,32,0,5.9,7.83,52,1
WM-00181,11.5,30,2,5.7,0.57,50,0
WM-00182,14.98,52,3,2.6,4.68,38,0
WM-00183,6.65,50,4,4.3,11.27,54,0
WM-00184,1.0,11,2,2.8,1.88,44,0
WM-00185,11.16,79,3,3.9,0.19,46,0
WM-00186,2.28,59,2,7.1,10.32,51,0
WM-00187,22.51,15,3,3.6,0.7,56,0
WM-00188,12.47,132,8,3.5,0.82,75,0
WM-00189,8.98,59,5,6.1,6.3,55,0
WM-00190,10.15,114,4,5.3,12.77,50,0
WM-00191,16.45,134,2,6.9,1.06,48,0
WM-00192,16.47,27,4,5.7,12.96,50,0
WM-00193,23.77,33,2,7.4,3.99,55,0
WM-00194,2.63,20,2,6.0,4.81,59,0
WM-00195,5.61,38,1,5.3,0.89,60,0
WM-00196,13.92,75,2,4.3,1.36,53,1
WM-00197,1.53,36,3,2.8,3.03,48,0
WM-00198,12.72,109,0,5.6,2.05,47,0
WM-00199,8.36,51,0,2.3,2.56,43,0
WM-00200,7.5,46,4,4.8,8.36,52,0
WM-00201,1.29,30,3,2.9,39.05,60,1
WM-00202,7.14,25,1,7.8,2.02,55,0
WM-00203,3.22,22,1,2.1,12.76,50,0
WM-00204,2.21,167,2,2.2,0.81,54,0
WM-00205,4.92,20,2,5.2,7.82,50,0
WM-00206,8.36,51,1,5.0,1.57,42,0
WM-00207,6.65,14,2,3.5,6.31,37,0
WM-00208,1.11,48,0,4.8,4.13,50,1
WM-00209,2.97,16,2,1.1,3.46,51,0
WM-00210,22.6,81,1,7.0,5.32,55,0
WM-00211,3.44,38,2,6.7,10.88,43,0
WM-00212,7.19,25,1,1.6,1.72,46,0
WM-00213,29.53,39,2,3.3,18.61,59,0
WM-00214,22.43,70,4,5.3,4.56,58,0
WM-00215,12.25,47,3,7.8,1.48,42,0
WM-00216,5.25,19,5,4.0,7.69,60,0
WM-00217,1.53,38,4,3.3,3.35,45,1
WM-00218,1.48,12,6,6.7,10.29,52,0
WM-00219,5.54,25,1,2.6,0.73,57,1
WM-00220,10.66,48,7,2.3,5.64,59,0
WM-00221,16.55,58,2,3.6,3.06,67,0
WM-00222,6.07,15,2,6.7,2.43,55,1
WM-00223,9.69,84,7,3.6,23.51,36,0
WM-00224,5.29,17,4,4.8,2.93,52,0
WM-00225,5.03,21,1,3.8,2.06,46,0
WM-00226,2.37,23,2,5.7,3.52,40,0
WM-00227,20.43,52,3,6.4,1.46,41,0
WM-00228,1.0,73,2,5.2,1.82,48,0
WM-00229,28.04,36,5,7.7,0.97,62,0
WM-00230,22.86,22,2,4.9,9.16,45,1
WM-00231,9.03,77,1,6.2,0.99,45,0
WM-00232,4.37,45,1,5.8,6.53,49,0
WM-00233,4.78,18,3,2.9,1.9,42,0
WM-00234,3.53,16,4,8.5,2.5,29,0
WM-00235,8.14,22,4,2.8,2.97,45,1
WM-00236,24.06,49,2,4.7,0.74,53,0
WM-00237,4.01,39,1,4.5,0.93,51,0
WM-00238,1.38,20,3,4.7,5.52,48,0
WM-00239,1.0,85,5,6.0,2.51,39,0
WM-00240,2.88,20,1,3.4,33.88,55,0
WM-00241,5.69,16,2,7.5,5.08,46,0
WM-00242,4.98,56,1,6.9,60.0,51,1
WM-00243,3.28,32,1,6.4,0.32,44,1
WM-00244,6.8,29,3,6.2,18.37,33,1
WM-00245,3.79,12,2,4.4,6.19,28,1
WM-00246,7.18,47,1,3.4,3.91,29,0
WM-00247,7.05,41,2,8.6,6.14,41,0
WM-00248,3.98,26,3,2.9,2.41,45,0
WM-00249,4.65,13,4,4.7,44.28,50,1
WM-00250,12.15,55,4,4.6,15.07,56,0
WM-00251,1.24,24,2,6.3,4.06,46,0
WM-00252,3.14,38,3,1.7,2.37,49,0
WM-00253,7.59,21,0,4.3,6.63,47,0
WM-00254,3.54,29,0,6.4,3.82,31,0
WM-00255,5.85,42,3,3.3,16.25,47,0
WM-00256,3.2,20,2,8.2,2.26,30,1
WM-00257,1.0,54,1,3.4,2.13,44,1
WM-00258,24.8,27,5,2.3,6.44,49,0
WM-00259,17.53,26,2,4.6,2.68,62,0
WM-00260,1.52,8,2,5.9,1.46,50,1
WM-00261,4.24,55,4,1.3,9.2,50,0
WM-00262,20.77,66,1,4.0,0.35,55,1
WM-00263,1.0,21,0,1.4,15.04,39,0
WM-00264,26.05,148,2,8.2,2.71,40,0
WM-00265,1.14,26,3,6.2,18.47,43,0
WM-00266,2.74,23,0,3.6,9.39,39,1
WM-00267,3.06,61,3,1.2,2.4,47,0
WM-00268,5.88,40,6,3.9,2.25,61,0
WM-00269,2.4,54,4,8.1,3.42,51,0
WM-00270,2.81,31,0,2.2,0.7,47,0
WM-00271,3.56,18,5,2.0,0.28,37,0
WM-00272,2.4,60,3,3.5,1.01,50,0
WM-00273,5.21,15,4,2.8,1.91,48,0
WM-00274,7.07,48,3,7.0,1.14,34,1
WM-00275,11.12,143,5,5.9,3.37,60,0
WM-00276,3.06,33,4,4.3,11.72,64,0
WM-00277,1.0,27,3,2.0,0.62,45,1
WM-00278,12.89,45,3,4.2,1.93,54,0
WM-00279,16.3,16,5,6.2,1.88,65,0
WM-00280,4.27,25,2,1.1,2.28,49,1
WM-00281,6.1,96,3,6.9,2.1,63,0
WM-00282,1.39,28,4,1.4,41.35,50,1
WM-00283,5.71,36,3,4.2,1.21,52,0
WM-00284,6.3,36,2,4.2,0.43,43,1
WM-00285,7.8,22,3,2.0,1.82,52,0
WM-00286,1.0,17,1,2.3,34.2,32,1
WM-00287,3.45,52,5,5.6,0.35,37,0
WM-00288,6.41,28,3,6.2,3.91,55,0
WM-00289,7.14,29,4,4.6,0.56,59,0
WM-00290,6.45,16,2,3.8,0.6,59,0
WM-00291,7.24,20,1,5.5,43.73,57,1
WM-00292,12.34,63,2,3.9,1.63,51,0
WM-00293,4.68,45,2,8.1,0.53,60,0
WM-00294,6.68,37,4,5.3,1.51,47,0
WM-00295,2.22,22,3,4.3,60.0,50,1
WM-00296,4.38,21,4,5.7,5.62,56,0
WM-00297,3.16,15,2,2.4,5.68,52,0
WM-00298,10.41,23,6,5.1,2.53,54,0
WM-00299,2.62,55,1,3.5,6.39,57,0
WM-00300,1.77,12,3,4.0,3.18,34,0
WM-00301,29.12,32,6,8.8,2.87,58,0
WM-00302,4.33,14,1,4.9,2.55,41,0
WM-00303,5.14,16,2,6.9,4.17,35,0
WM-00304,5.0,82,5,2.9,1.84,50,0
WM-00305,2.97,10,4,3.2,0.93,49,0
WM-00306,9.19,27,2,3.4,2.25,53,0
WM-00307,6.44,31,2,8.9,1.96,50,0
WM-00308,10.91,63,3,2.2,5.94,40,0
WM-00309,2.08,35,0,3.6,0.77,40,1
WM-00310,7.78,61,2,2.2,1.0,57,0
WM-00311,4.58,20,5,6.6,2.43,39,0
WM-00312,4.35,29,2,3.9,2.8,42,0
WM-00313,4.99,40,3,4.5,11.97,60,1
WM-00314,4.87,12,3,4.4,8.71,49,0
WM-00315,17.05,37,8,4.6,15.71,65,0
WM-00316,3.12,20,2,3.4,40.2,38,1
WM-00317,2.38,26,1,3.2,4.6,51,0
WM-00318,10.94,40,2,7.1,14.32,53,0
WM-00319,9.81,49,2,7.9,1.78,52,0
WM-00320,1.12,16,4,3.6,0.74,57,0
WM-00321,8.27,38,5,9.2,5.62,60,0
WM-00322,3.69,29,2,8.4,3.8,40,0
WM-00323,3.7,84,1,3.7,0.12,49,1
WM-00324,3.18,21,2,3.3,2.79,38,0
WM-00325,5.59,93,2,3.5,26.37,62,1
WM-00326,3.14,111,3,6.6,5.4,53,0
WM-00327,16.95,39,4,7.0,5.32,55,0
WM-00328,2.57,35,1,5.8,1.73,46,0
WM-00329,5.31,32,3,4.4,2.34,45,1
WM-00330,19.69,38,4,7.1,17.81,51,0
WM-00331,2.02,40,1,2.1,22.19,39,0
WM-00332,18.01,31,4,5.6,39.36,61,1
WM-00333,1.1,12,0,4.8,1.08,28,0
WM-00334,6.84,7,0,6.2,3.49,57,0
WM-00335,6.07,77,5,3.3,2.7,51,0
WM-00336,3.37,32,3,6.0,1.46,42,0
WM-00337,5.24,44,3,3.2,1.1,46,0
WM-00338,3.93,39,3,7.3,60.0,50,1
WM-00339,1.48,26,1,1.4,1.24,47,0
WM-00340,9.44,6,2,5.4,7.1,48,0
WM-00341,1.38,31,2,7.2,4.51,28,0
WM-00342,1.47,59,1,2.0,28.73,30,0
WM-00343,13.5,25,2,3.9,4.67,45,0
WM-00344,7.23,21,1,6.5,9.19,60,0
WM-00345,1.11,17,2,2.7,0.23,41,0
WM-00346,2.53,13,3,3.6,4.44,28,0
WM-00347,9.56,29,0,5.0,0.6,48,0
WM-00348,3.28,23,2,4.7,0.85,35,0
WM-00349,9.44,47,4,4.2,12.51,36,0
WM-00350,1.21,38,2,2.9,12.05,33,0
WM-00351,34.94,90,2,8.6,3.86,38,0
WM-00352,5.49,43,3,6.2,1.76,53,0
WM-00353,6.6,29,1,1.5,8.06,51,0
WM-00354,15.62,49,4,5.3,13.11,45,0
WM-00355,8.1,26,4,3.3,11.35,51,1
WM-00356,19.86,40,1,4.8,1.13,59,0
WM-00357,1.73,50,1,2.9,0.85,43,0
WM-00358,13.85,50,1,5.6,1.95,44,0
WM-00359,8.0,14,1,7.6,4.14,47,0
WM-00360,8.18,73,0,5.7,13.6,51,0
WM-00361,17.63,129,4,3.7,5.67,55,0
WM-00362,18.52,71,3,2.2,0.96,56,0
WM-00363,3.74,21,3,6.1,1.08,46,0
WM-00364,2.73,18,3,4.1,2.78,54,0
WM-00365,7.88,23,5,3.9,1.23,41,0
WM-00366,9.85,28,5,5.5,6.62,58,0
WM-00367,2.27,46,1,5.5,47.91,45,0
WM-00368,3.02,37,1,5.1,11.35,50,1
WM-00369,22.31,18,3,3.3,9.37,66,0
WM-00370,6.08,58,4,4.6,15.31,43,0
WM-00371,31.14,38,1,6.2,24.46,52,0
WM-00372,4.0,16,1,6.4,11.86,51,0
WM-00373,26.35,101,2,4.2,0.41,47,0
WM-00374,15.38,43,2,7.9,7.87,49,0
WM-00375,3.32,19,3,7.6,3.4,49,0
WM-00376,1.0,70,2,3.0,8.78,38,0
WM-00377,6.77,41,3,5.9,1.3,42,0
WM-00378,1.99,49,1,4.2,16.03,34,0
WM-00379,2.97,73,2,5.3,0.71,40,1
WM-00380,14.24,56,1,8.6,10.99,55,0
WM-00381,10.18,35,4,3.2,4.04,54,1
WM-00382,6.78,17,2,8.0,47.8,54,1
WM-00383,3.9,30,2,3.7,1.35,59,0
WM-00384,12.08,27,5,6.2,2.73,66,0
WM-00385,4.34,23,3,2.0,1.05,49,0
WM-00386,9.46,22,2,3.6,2.49,55,0
WM-00387,1.0,20,1,1.4,1.31,51,0
WM-00388,5.46,39,2,7.6,9.15,47,0
WM-00389,8.49,31,3,7.2,8.06,36,1
WM-00390,4.39,41,3,2.3,4.97,47,0
WM-00391,8.16,61,1,4.8,2.09,39,0
WM-00392,7.56,94,1,2.3,6.96,47,0
WM-00393,4.67,23,5,4.5,2.02,51,0
WM-00394,1.77,17,3,2.0,22.86,39,0
WM-00395,3.88,14,2,4.4,6.46,50,0
WM-00396,2.81,39,2,3.1,8.39,47,1
WM-00397,1.33,13,1,4.0,0.9,42,0
WM-00398,2.69,42,1,5.2,20.67,38,1
WM-00399,13.08,76,5,6.7,6.14,48,0
WM-00400,5.65,20,1,2.7,14.64,47,0
WM-00401,4.72,33,2,1.7,57.82,57,1
WM-00402,3.11,13,3,4.4,4.74,52,0
WM-00403,9.51,51,4,2.4,22.37,48,0
WM-00404,1.0,13,1,7.0,12.7,37,0
WM-00405,7.79,31,4,7.4,5.34,49,0
WM-00406,12.52,24,1,3.0,16.36,36,1
WM-00407,5.33,35,1,3.5,3.87,50,0
WM-00408,6.96,45,1,4.3,13.07,47,0
WM-00409,6.13,47,2,4.9,8.82,46,1
WM-00410,4.8,12,4,3.1,0.39,46,0
WM-00411,5.11,29,1,3.1,11.8,50,0
WM-00412,4.47,14,5,5.0,11.21,37,0
WM-00413,6.62,89,2,6.3,11.76,49,0
WM-00414,3.12,30,4,8.2,1.26,34,0
WM-00415,6.43,53,6,2.7,3.49,58,0
WM-00416,1.99,8,2,3.5,1.05,33,0
WM-00417,3.27,29,0,4.3,6.08,39,0
WM-00418,10.22,29,3,2.8,2.27,55,0
WM-00419,2.1,110,3,2.5,2.87,37,0
WM-00420,60.1,79,0,8.3,2.1,62,0
WM-00421,2.47,8,2,4.9,14.38,53,0
WM-00422,7.61,24,2,4.9,0.59,53,0
WM-00423,13.92,47,5,6.0,1.51,50,1
WM-00424,7.86,26,2,2.6,1.01,44,0
WM-00425,3.95,94,1,2.8,4.61,50,1
WM-00426,25.11,37,7,7.1,0.73,50,0
WM-00427,4.22,12,4,2.8,1.71,63,0
WM-00428,1.82,42,3,4.3,0.23,40,0
WM-00429,10.95,45,5,2.5,38.62,61,0
WM-00430,5.01,27,4,4.2,17.04,35,1
WM-00431,3.35,12,2,5.1,4.59,44,0
WM-00432,7.23,35,1,1.5,2.94,52,0
WM-00433,3.86,55,4,2.3,2.41,41,0
WM-00434,5.25,25,3,5.8,11.13,51,0
WM-00435,1.04,24,0,2.4,0.12,43,0
WM-00436,3.9,82,2,5.8,9.38,45,0
WM-00437,6.15,50,1,2.0,10.29,43,0
WM-00438,4.22,17,4,1.2,0.57,36,0
WM-00439,11.7,40,2,5.6,0.62,44,0
WM-00440,1.82,23,2,4.1,3.42,38,0
WM-00441,2.09,4,5,2.0,0.64,50,0
WM-00442,11.24,27,4,2.6,2.83,44,1
WM-00443,5.34,41,1,8.2,1.68,36,0
WM-00444,1.02,20,2,3.8,1.61,44,0
WM-00445,3.86,6,0,2.5,4.08,36,0
WM-00446,9.74,35,2,8.2,3.12,46,0
WM-00447,3.37,80,2,6.5,1.97,43,0
WM-00448,2.02,26,0,2.3,11.52,42,1
WM-00449,1.54,34,2,3.1,1.15,40,0
WM-00450,4.28,44,1,6.8,60.0,49,1
WM-00451,6.73,16,4,9.3,26.97,56,1
WM-00452,5.18,49,1,1.8,3.9,47,0
WM-00453,5.91,43,5,3.7,2.04,46,0
WM-00454,3.32,34,1,6.9,17.51,61,0
WM-00455,1.0,9,0,2.1,6.51,49,1
WM-00456,1.65,40,0,5.5,10.37,42,0
WM-00457,6.26,39,3,3.2,1.17,45,0
WM-00458,4.53,11,2,6.2,5.81,52,0
WM-00459,3.96,35,2,5.5,2.45,49,0
WM-00460,1.0,55,1,4.7,15.14,37,1
WM-00461,16.7,39,3,5.5,0.61,39,0
WM-00462,11.3,60,4,8.8,3.76,60,0
WM-00463,6.76,20,2,4.6,2.84,46,1
WM-00464,6.43,12,2,5.3,1.48,50,0
WM-00465,5.91,35,4,6.7,0.4,43,1
WM-00466,13.08,51,4,6.5,26.67,48,1
WM-00467,2.39,22,2,3.8,2.23,35,1
WM-00468,10.19,89,1,1.6,5.1,52,1
WM-00469,7.26,17,3,2.8,11.8,48,1
WM-00470,6.21,47,2,7.4,8.62,42,0
WM-00471,1.7,33,3,2.0,8.14,50,1
WM-00472,1.0,9,2,4.1,6.24,28,0
WM-00473,17.45,46,4,5.8,1.42,54,0
WM-00474,2.89,18,1,3.8,1.69,47,0
WM-00475,1.24,30,0,4.1,42.19,33,1
WM-00476,3.55,13,3,1.5,1.18,61,0
WM-00477,1.74,9,2,2.1,0.33,52,0
WM-00478,7.36,24,1,6.6,0.52,45,0
WM-00479,6.6,19,5,4.2,0.67,37,0
WM-00480,17.66,109,2,4.2,3.53,52,0
WM-00481,15.71,37,6,6.1,7.63,42,0
WM-00482,7.01,18,7,4.4,1.4,50,0
WM-00483,3.73,86,3,1.8,3.67,50,0
WM-00484,14.5,61,3,5.0,9.25,52,0
WM-00485,6.72,27,2,7.0,5.45,65,0
WM-00486,6.05,32,2,6.0,1.08,45,1
WM-00487,6.59,18,4,3.0,0.83,52,0
WM-00488,7.06,19,2,3.7,2.49,53,0
WM-00489,16.27,37,4,6.5,23.95,50,0
WM-00490,6.72,25,0,2.0,6.76,49,0
WM-00491,3.48,16,1,4.2,17.45,51,0
WM-00492,6.68,35,3,3.1,4.02,60,0
WM-00493,24.16,60,2,7.6,3.52,53,0
WM-00494,16.24,34,6,2.0,21.14,56,0
WM-00495,1.88,18,1,4.2,4.16,43,1
WM-00496,7.54,32,3,6.1,1.81,42,0
WM-00497,9.57,24,3,5.7,1.31,43,0
WM-00498,4.02,44,3,7.5,1.31,44,0
WM-00499,6.23,103,2,8.5,15.16,57,0
WM-00500,11.19,86,4,4.8,8.55,68,0
WM-00501,1.59,21,1,3.5,1.6,28,1
WM-00502,1.07,19,0,7.9,4.81,31,0
WM-00503,5.73,21,4,9.2,3.05,56,0
WM-00504,4.31,23,1,5.3,2.22,38,1
WM-00505,42.26,16,4,2.0,3.73,48,0
WM-00506,5.88,12,3,2.6,12.85,47,1
WM-00507,3.06,37,1,4.8,2.06,56,0
WM-00508,9.47,51,2,7.5,18.99,61,0
WM-00509,4.27,16,2,4.6,1.64,45,0
WM-00510,14.47,34,2,6.6,10.38,53,0
WM-00511,2.37,37,2,5.5,8.53,45,0
WM-00512,11.35,58,5,4.1,10.24,55,0
WM-00513,14.34,80,3,3.9,1.49,44,0
WM-00514,11.53,24,5,7.0,1.96,68,0
WM-00515,4.06,27,1,4.1,36.09,52,0
WM-00516,5.21,60,2,8.7,0.28,52,0
WM-00517,1.27,80,3,1.7,0.15,47,0
WM-00518,4.0,62,2,2.3,0.68,57,0
WM-00519,5.4,15,4,2.5,4.24,51,0
WM-00520,2.74,35,2,4.4,4.09,42,0
WM-00521,7.13,36,1,4.4,2.77,53,0
WM-00522,19.54,47,3,7.4,1.18,46,0
WM-00523,1.81,18,2,1.4,10.52,58,1
WM-00524,4.07,22,4,2.4,0.83,38,0
WM-00525,6.76,52,3,4.8,0.3,47,0
WM-00526,1.17,36,2,6.0,2.32,40,0
WM-00527,6.75,45,1,5.2,12.33,59,1
WM-00528,1.26,14,1,2.9,2.57,49,0
WM-00529,7.3,17,3,5.9,0.14,60,0
WM-00530,13.54,14,2,4.3,4.63,51,0
WM-00531,9.15,32,4,5.4,0.46,50,1
WM-00532,1.49,67,3,4.0,0.54,34,0
